Latitude,Longitude,Risk_Level,High_Risk_Prob
42.56375838926174,-108.14765100671141,HIGH,0.5958
42.56375838926174,-107.5503355704698,HIGH,0.5958
42.56375838926174,-106.95302013422818,HIGH,0.5958
42.56375838926174,-106.35570469798657,HIGH,0.5958
42.56375838926174,-105.75838926174497,HIGH,0.5973
42.56375838926174,-105.16107382550335,HIGH,0.5973
42.56375838926174,-104.56375838926175,HIGH,0.5973
42.56375838926174,-103.96644295302013,HIGH,0.5973
42.56375838926174,-103.36912751677852,HIGH,0.5973
42.56375838926174,-102.7718120805369,HIGH,0.5973
42.56375838926174,-102.1744966442953,HIGH,0.5973
42.56375838926174,-101.57718120805369,HIGH,0.5973
42.56375838926174,-100.97986577181209,HIGH,0.5973
42.56375838926174,-100.38255033557047,HIGH,0.5973
42.56375838926174,-99.78523489932886,HIGH,0.59
42.56375838926174,-99.18791946308724,HIGH,0.59
42.56375838926174,-98.59060402684563,HIGH,0.59
42.56375838926174,-97.99328859060402,HIGH,0.59
42.56375838926174,-97.39597315436242,HIGH,0.5884
42.56375838926174,-96.79865771812081,HIGH,0.5884
42.56375838926174,-96.20134228187919,HIGH,0.5884
42.56375838926174,-95.60402684563758,HIGH,0.5884
42.56375838926174,-95.00671140939596,HIGH,0.5884
42.56375838926174,-94.40939597315436,HIGH,0.5884
42.56375838926174,-93.81208053691276,HIGH,0.5884
42.56375838926174,-93.21476510067114,HIGH,0.5884
42.56375838926174,-92.61744966442953,HIGH,0.5884
42.56375838926174,-92.02013422818791,HIGH,0.5884
42.56375838926174,-91.4228187919463,HIGH,0.5884
42.56375838926174,-90.8255033557047,HIGH,0.5884
42.56375838926174,-90.22818791946308,HIGH,0.5884
42.56375838926174,-89.63087248322148,HIGH,0.5884
42.56375838926174,-89.03355704697987,HIGH,0.5884
42.56375838926174,-88.43624161073825,HIGH,0.5884
42.56375838926174,-87.83892617449663,HIGH,0.5884
42.56375838926174,-87.24161073825503,HIGH,0.5884
42.56375838926174,-86.64429530201342,HIGH,0.5884
42.56375838926174,-86.04697986577182,HIGH,0.5884
42.56375838926174,-85.4496644295302,HIGH,0.5884
42.56375838926174,-84.85234899328859,HIGH,0.5884
42.56375838926174,-84.25503355704697,HIGH,0.5884
42.56375838926174,-83.65771812080537,HIGH,0.5884
42.56375838926174,-83.06040268456375,HIGH,0.5884
42.56375838926174,-82.46308724832215,HIGH,0.5884
42.56375838926174,-81.86577181208054,HIGH,0.5884
42.56375838926174,-81.26845637583892,HIGH,0.5897
42.56375838926174,-80.67114093959731,HIGH,0.5877
42.56375838926174,-80.07382550335569,HIGH,0.5877
42.56375838926174,-79.47651006711409,HIGH,0.5905
42.56375838926174,-78.87919463087249,HIGH,0.5905
42.56375838926174,-78.28187919463087,HIGH,0.5905
42.56375838926174,-77.68456375838926,HIGH,0.5905
42.56375838926174,-77.08724832214764,HIGH,0.5905
42.56375838926174,-76.48993288590604,HIGH,0.5905
42.56375838926174,-75.89261744966443,HIGH,0.5905
42.56375838926174,-75.29530201342281,HIGH,0.5905
42.56375838926174,-74.69798657718121,HIGH,0.5905
42.56375838926174,-74.1006711409396,HIGH,0.5905
42.56375838926174,-73.50335570469798,HIGH,0.5905
42.56375838926174,-72.90604026845638,HIGH,0.5864
42.56375838926174,-72.30872483221476,HIGH,0.5864
42.56375838926174,-71.71140939597315,HIGH,0.5864
42.56375838926174,-71.11409395973153,HIGH,0.5864
42.56375838926174,-70.51677852348993,HIGH,0.5864
42.56375838926174,-69.91946308724832,HIGH,0.5877
42.56375838926174,-69.3221476510067,HIGH,0.5877
42.56375838926174,-68.7248322147651,HIGH,0.5877
42.56375838926174,-68.12751677852349,HIGH,0.5877
42.56375838926174,-67.53020134228187,HIGH,0.5877
42.56375838926174,-66.93288590604027,HIGH,0.5877
42.56375838926174,-66.33557046979865,HIGH,0.5877
42.56375838926174,-65.73825503355704,HIGH,0.5877
42.56375838926174,-65.14093959731544,HIGH,0.5877
42.56375838926174,-64.54362416107382,HIGH,0.5877
42.56375838926174,-63.94630872483221,HIGH,0.5942
42.56375838926174,-63.348993288590606,HIGH,0.5942
42.56375838926174,-62.75167785234899,HIGH,0.5942
42.56375838926174,-62.154362416107375,HIGH,0.5942
42.56375838926174,-61.557046979865774,HIGH,0.5942
42.56375838926174,-60.95973154362416,HIGH,0.5942
42.56375838926174,-60.36241610738254,HIGH,0.588
42.56375838926174,-59.76510067114094,HIGH,0.5843
42.56375838926174,-59.16778523489933,HIGH,0.5843
42.56375838926174,-58.57046979865771,HIGH,0.5843
42.56375838926174,-57.97315436241611,HIGH,0.5843
42.56375838926174,-57.375838926174495,HIGH,0.5793
42.56375838926174,-56.77852348993288,HIGH,0.5793
42.56375838926174,-56.181208053691265,HIGH,0.5793
42.56375838926174,-55.58389261744966,HIGH,0.5793
42.56375838926174,-54.98657718120805,HIGH,0.5793
42.56375838926174,-54.38926174496643,HIGH,0.5793
42.56375838926174,-53.79194630872483,HIGH,0.5783
42.56375838926174,-53.194630872483216,HIGH,0.5783
42.56375838926174,-52.5973154362416,HIGH,0.5783
42.56375838926174,-52.0,HIGH,0.5783
42.84563758389262,-141.0,HIGH,0.6598
42.84563758389262,-140.40268456375838,HIGH,0.6598
42.84563758389262,-139.80536912751677,HIGH,0.6598
42.84563758389262,-139.20805369127515,HIGH,0.6598
42.84563758389262,-138.61073825503357,HIGH,0.6631
42.84563758389262,-138.01342281879195,HIGH,0.659
42.84563758389262,-137.41610738255034,HIGH,0.659
42.84563758389262,-136.81879194630872,HIGH,0.659
42.84563758389262,-136.2214765100671,HIGH,0.659
42.84563758389262,-135.6241610738255,HIGH,0.659
42.84563758389262,-135.0268456375839,HIGH,0.6655
42.84563758389262,-134.4295302013423,HIGH,0.6655
42.84563758389262,-133.83221476510067,HIGH,0.6655
42.84563758389262,-133.23489932885906,HIGH,0.6655
42.84563758389262,-132.63758389261744,HIGH,0.6655
42.84563758389262,-132.04026845637583,HIGH,0.6655
42.84563758389262,-131.44295302013424,HIGH,0.6655
42.84563758389262,-130.84563758389262,HIGH,0.6655
42.84563758389262,-130.248322147651,HIGH,0.6655
42.84563758389262,-129.6510067114094,HIGH,0.6655
42.84563758389262,-129.05369127516778,HIGH,0.6655
42.84563758389262,-128.45637583892616,HIGH,0.6655
42.84563758389262,-127.85906040268456,HIGH,0.6655
42.84563758389262,-127.26174496644295,HIGH,0.6655
42.84563758389262,-126.66442953020135,HIGH,0.6655
42.84563758389262,-126.06711409395973,HIGH,0.6655
42.84563758389262,-125.46979865771812,HIGH,0.6432
42.84563758389262,-124.87248322147651,HIGH,0.6752
42.84563758389262,-124.2751677852349,HIGH,0.6737
42.84563758389262,-123.67785234899328,HIGH,0.6737
42.84563758389262,-123.08053691275168,HIGH,0.6737
42.84563758389262,-122.48322147651007,HIGH,0.6737
42.84563758389262,-121.88590604026845,HIGH,0.6737
42.84563758389262,-121.28859060402684,HIGH,0.6737
42.84563758389262,-120.69127516778524,HIGH,0.6737
42.84563758389262,-120.09395973154362,HIGH,0.6737
42.84563758389262,-119.49664429530202,HIGH,0.6737
42.84563758389262,-118.8993288590604,HIGH,0.6737
42.84563758389262,-118.30201342281879,HIGH,0.6766
42.84563758389262,-117.70469798657717,HIGH,0.6609
42.84563758389262,-117.10738255033557,HIGH,0.6584
42.84563758389262,-116.51006711409396,HIGH,0.666
42.84563758389262,-115.91275167785236,HIGH,0.6545
42.84563758389262,-115.31543624161074,HIGH,0.6125
42.84563758389262,-114.71812080536913,HIGH,0.6163
42.84563758389262,-114.12080536912751,HIGH,0.6163
42.84563758389262,-113.52348993288591,HIGH,0.6038
42.84563758389262,-112.9261744966443,HIGH,0.6038
42.84563758389262,-112.32885906040269,HIGH,0.5944
42.84563758389262,-111.73154362416108,HIGH,0.5944
42.84563758389262,-111.13422818791946,HIGH,0.5944
42.84563758389262,-110.53691275167785,HIGH,0.5958
42.84563758389262,-109.93959731543625,HIGH,0.5958
42.84563758389262,-109.34228187919463,HIGH,0.5958
42.84563758389262,-108.74496644295303,HIGH,0.5958
42.84563758389262,-108.14765100671141,HIGH,0.5958
42.84563758389262,-107.5503355704698,HIGH,0.5958
42.84563758389262,-106.95302013422818,HIGH,0.5958
42.84563758389262,-106.35570469798657,HIGH,0.5958
42.84563758389262,-105.75838926174497,HIGH,0.5973
42.84563758389262,-105.16107382550335,HIGH,0.5973
42.84563758389262,-104.56375838926175,HIGH,0.5973
42.84563758389262,-103.96644295302013,HIGH,0.5973
42.84563758389262,-103.36912751677852,HIGH,0.5973
42.84563758389262,-102.7718120805369,HIGH,0.5973
42.84563758389262,-102.1744966442953,HIGH,0.5973
42.84563758389262,-101.57718120805369,HIGH,0.5973
42.84563758389262,-100.97986577181209,HIGH,0.5973
42.84563758389262,-100.38255033557047,HIGH,0.5973
42.84563758389262,-99.78523489932886,HIGH,0.59
42.84563758389262,-99.18791946308724,HIGH,0.59
42.84563758389262,-98.59060402684563,HIGH,0.59
42.84563758389262,-97.99328859060402,HIGH,0.59
42.84563758389262,-97.39597315436242,HIGH,0.5884
42.84563758389262,-96.79865771812081,HIGH,0.5884
42.84563758389262,-96.20134228187919,HIGH,0.5884
42.84563758389262,-95.60402684563758,HIGH,0.5884
42.84563758389262,-95.00671140939596,HIGH,0.5884
42.84563758389262,-94.40939597315436,HIGH,0.5884
42.84563758389262,-93.81208053691276,HIGH,0.5884
42.84563758389262,-93.21476510067114,HIGH,0.5884
42.84563758389262,-92.61744966442953,HIGH,0.5884
42.84563758389262,-92.02013422818791,HIGH,0.5884
42.84563758389262,-91.4228187919463,HIGH,0.5884
42.84563758389262,-90.8255033557047,HIGH,0.5884
42.84563758389262,-90.22818791946308,HIGH,0.5884
42.84563758389262,-89.63087248322148,HIGH,0.5884
42.84563758389262,-89.03355704697987,HIGH,0.5884
42.84563758389262,-88.43624161073825,HIGH,0.5884
